Libraries,Address,Books Available,Book Number,Public Transport,,,,,,,,,,,
Charlotte and William Bloomberg Medford Public Library,"111 High St, Medford, MA 02155",The Forgotten,11,18 min,1,2,3,4,5,,route,duration,notes,start time,end time
,,The Sacrifice,52,1 bus (20 stops),6,7,8,9,10,,powder house > medford,18 min,1 bus,10:00 AM,
,,The Visitor,2,,11,12,13,14,15,,medford > malden,31 min,7 min walk + 1 bus + 10 min walk,,
,,The Alien,8,,16,17,18,19,20,,malden > cambridge,52 min,2 subways,,
,,The Capture,6,,21,22,23,24,25,,cambridge > honan,16 min,1 bus,,
,,The Stranger,7,,26,27,28,29,30,,honan > uphams,1 hr 15 min,2 buses,,
,,The Android,10,,31,32,33,34,35,,uphams > needham,1 hr 23 min,1 bus + 1 subway,,
,,The Predator,5,,36,37,38,39,40,,,,,,
,,The Reaction,12,,41,42,43,44,45,,,4 hr 35 min,,,
,,The Message,4,,46,47,48,49,50,,,,,,
,,The Secret,9,,51,52,53,54,,,,,,,
,,The Sickness,29,,,,,,,,,,,,
Cambridge Public Library - Central Square Branch,"45 Pearl St, Cambridge, MA 02139",The Resistance,47,29 min,,available but cannot access by public transport or too far (2 hrs+),,,,,,,,,
,,The Encounter,3,1 bus (6 stops) + Red Line subway (3 stops),,unavailable/can't find,,,,,,,,,
,,The Decision,18,,,,,,,,,,,,
,,The Secret,9,,,,,,,,,,,,
,,The Sickness,29,,,,,,,,,,,,
,,The Visitor,2,,,,,,,,,,,,
,,The Stranger,7,,,,,,,,,,,,
,,The Invasion,1,,,,,,,,,,,,
Cary Memorial Library,"1874 Massachusetts Ave, Lexington, MA 02420",The Predator,5,51 min,,,,,,,,,,,
,,The Experiment,28,Red Line subway (1 stop) + 1 bus (33 stops),,,,,,,,,,,
,,The Proposal,35,,,,,,,,,,,,
,,The Illusion,33,,,,,,,,,,,,
,,The Other,40,,,,,,,,,,,,
,,The Departure,19,,,,,,,,,,,,
,,The Pretender,23,,,,,,,,,,,,
,,The Discovery,20,,,,,,,,,,,,
,,The Mutation,36,,,,,,,,,,,,
,,The Attack,26,,,,,,,,,,,,
,,The Encounter,3,,,,,,,,,,,,
,,The Reaction,12,,,,,,,,,,,,
,,The Conspiracy,31,,,,,,,,,,,,
,,The Capture,6,,,,,,,,,,,,
,,The Unknown,14,,,,,,,,,,,,
,,The Solution,22,,,,,,,,,,,,
,,The Visitor,2,,,,,,,,,,,,
,,The Message,4,,,,,,,,,,,,
,,The Stranger,7,,,,,,,,,,,,
,,The Invasion,1,,,,,,,,,,,,
Malden Public Library,"36 Salem St, Malden, MA 02148",The Invasion,1,37 min,,,,,,,,,,,
,,The Message,4,1 bus (21 stops),,,,,,,,,,,
,,The Stranger,7,,,,,,,,,,,,
,,The Encounter,3,,,,,,,,,,,,
,,The Capture,6,,,,,,,,,,,,
,,The Visitor,2,,,,,,,,,,,,
,,The Exposed,27,,,,,,,,,,,,
,,The Reunion,30,,,,,,,,,,,,
,,The Suspicion,24,,,,,,,,,,,,
Honan-Allston Branch of the Boston Public Library,"300 N Harvard St, Boston, MA 02134",The Encounter,3,37 min,,,,,,,,,,,
,,The Weakness,37,Red Line subway (2 stops) + 1 bus (5 stops),,,,,,,,,,,
,,The Arrival,38,,,,,,,,,,,,
,,The Absolute,51,,,,,,,,,,,,
,,The Ultimate,50,,,,,,,,,,,,
,,The Proposal,35,,,,,,,,,,,,
,,The Deception,46,,,,,,,,,,,,
,,The Return,48,,,,,,,,,,,,
,,The Sickness,29,,,,,,,,,,,,
,,The Escape,15,,,,,,,,,,,,
Uphams Corner Branch of the Boston Public Library,"500 Columbia Rd, Dorchester, MA 02125",The Encounter,3,56 min,,,,,,,,,,,
,,The Visitor,2,Red Line subway (10 stops) + 1 bus (8 stops),,,,,,,,,,,
,,The Reunion,30,,,,,,,,,,,,
,,The Proposal,35,,,,,,,,,,,,
,,The Separation,32,,,,,,,,,,,,
,,The Pretender,23,,,,,,,,,,,,
Needham Free Public Library,"1139 Highland Ave, Needham Heights, MA 02494",The Invasion,1,1 hr 25 min,,,,,,,,,,,
,,The Change,13,1 bus (12 stops) + 1 bus (21 stops) + 1 bus (46 stops),,,,,,,,,,,
,,The Separation,32,so 3 buses total,,,,,,,,,,,
,,The Decision,18,,,,,,,,,,,,
,,The Predator,5,,,,,,,,,,,,
,,The Ultimate,50,,,,,,,,,,,,
,,The Arrival,38,,,,,,,,,,,,
,,The Reunion,30,,,,,,,,,,,,
,,The Diversion,49,,,,,,,,,,,,
,,The Unexpected,44,,,,,,,,,,,,
Holliston Public Library,"752 Washington St, Holliston, MA 01746",The Stranger,7,2 hr 55 min lol,,,,,,,,,,,
,,The Underground,17,Green Line E (9 stops) + Green Line D (17 stops) + 2 trains,,,,,,,,,,,
,,The Invasion,1,,,,,,,,,,,,
,,The Change,13,,,,,,,,,,,,
,,The Sickness,29,,,,,,,,,,,,
,,The Capture,6,,,,,,,,,,,,
,,The Separation,32,,,,,,,,,,,,
,,The Decision,18,,,,,,,,,,,,
,,The Suspicion,24,,,,,,,,,,,,
,,The Extreme,25,,,,,,,,,,,,
,,The Warning,16,,,,,,,,,,,,
,,The Escape,15,,,,,,,,,,,,
Framingham Public Library,"49 Lexington St, Framingham, MA 01702",The Stranger,7,2 hr 30 min,,,,,,,,,,,
,,The Solution,22,Green Line E + Green Line D + train,,,,,,,,,,,
,,The Unknown,14,,,,,,,,,,,,
,,The Secret,9,,,,,,,,,,,,
,,The Capture,6,,,,,,,,,,,,
,,The Conspiracy,31,,,,,,,,,,,,
,,The Suspicion,24,,,,,,,,,,,,
,,The Threat,21,,,,,,,,,,,,
,,The Mutation,36,,,,,,,,,,,,
,,The Pretender,23,,,,,,,,,,,,
,,The Departure,19,,,,,,,,,,,,
,,The Encounter,3,,,,,,,,,,,,
,,The Ultimate,50,,,,,,,,,,,,
,,The Resistance,47,,,,,,,,,,,,
,,The Revelation,45,,,,,,,,,,,,
,,The Weakness,37,,,,,,,,,,,,
,,The Reunion,30,,,,,,,,,,,,
,,The Experiment,28,,,,,,,,,,,,
,,The Escape,15,,,,,,,,,,,,
,,The Absolute,51,,,,,,,,,,,,
Millis Public Library,"961 Main St, Millis, MA 02054",The Prophecy,34,TOO FAR,,,,,,,,,,,
,,The Hidden,39,"They have the largest collection though, 46/54 books",,,,,,,,,,,
,,The Familiar,41,,,,,,,,,,,,
,,The Journey,42,,,,,,,,,,,,
,,The Test,43,,,,,,,,,,,,